Number 1, Number 2, GCD, Time Spent(NanoSeconds)
41, 18467, 1, 1185
6334, 26500, 2, 18963
19169, 15724, 1, 46223
11478, 29358, 6, 33975
26962, 24464, 2, 71901
5705, 28145, 5, 16988
23281, 16827, 1, 49383
9961, 491, 1, 1975
2995, 11942, 1, 9086
4827, 5436, 3, 14222
32391, 14604, 3, 43062
3902, 153, 1, 395
292, 12382, 2, 1185
17421, 18716, 1, 52543
19718, 19895, 1, 57679
5447, 21726, 1, 16197
14771, 11538, 1, 33976
1869, 19912, 1, 5531
25667, 26299, 1, 75061
17035, 9894, 1, 29235
28703, 23811, 1, 69531
31322, 30333, 1, 88889
17673, 4664, 1, 14223
15141, 7711, 1, 22913
28253, 6868, 1, 35951
25547, 27644, 1, 75062
32662, 32757, 1, 96000
20037, 12859, 1, 37926
8723, 9741, 1, 26074
27529, 778, 1, 2370
12316, 3035, 1, 26074
22190, 1842, 2, 5926
288, 30106, 2, 1580
9040, 8942, 2, 26864
19264, 22648, 8, 59259
27446, 23805, 1, 71506
15890, 6729, 1, 21729
24370, 15350, 10, 45432
15006, 31101, 3, 44247
24393, 3548, 1, 11062
19629, 12623, 1, 37136
24084, 19954, 2, 76247
18756, 11840, 4, 35161
4966, 7376, 2, 15013
13931, 26308, 1, 41087
16944, 32439, 3, 50173
24626, 11323, 1, 36741
5537, 21538, 1, 16593
16118, 2082, 2, 6716
22929, 16541, 1, 64394
4833, 31115, 1, 15408
4639, 29658, 1, 30024
22704, 9930, 6, 32395
13977, 2306, 1, 7506
31673, 22386, 1, 84148
5021, 28745, 1, 15012
26924, 19072, 4, 74667
6270, 5829, 3, 35556
26777, 15573, 1, 64791
5097, 16512, 3, 15013
23986, 13290, 2, 39507
9161, 18636, 1, 61234
22355, 24767, 1, 86914
23655, 15574, 1, 47407
4031, 12052, 1, 15803
27350, 1150, 50, 3951
16941, 21724, 1, 51753
13966, 3430, 2, 10272
31107, 30191, 1, 96396
18007, 11337, 1, 33185
15457, 12287, 1, 36741
27753, 10383, 3, 30815
14945, 8909, 1, 32790
32209, 9758, 1, 29235
24221, 18588, 1, 54518
6422, 24946, 2, 19358
27506, 13030, 2, 54518
16413, 29168, 1, 48197
900, 32591, 1, 3556
18762, 1655, 1, 5530
17410, 6359, 1, 18963
27624, 20537, 1, 84544
21548, 6483, 1, 24494
27595, 4041, 1, 12247
3602, 24350, 2, 17778
10291, 30836, 1, 52148
9374, 11020, 2, 47803
4596, 24021, 3, 23309
27348, 23199, 3, 115358
19668, 24484, 4, 58074
8281, 4734, 1, 14617
53, 1999, 1, 395
26418, 27938, 2, 131950
6900, 3788, 4, 12642
18127, 467, 1, 1581
3728, 14893, 1, 15407
24648, 22483, 1, 68741
17807, 2421, 1, 7506
14310, 6617, 1, 31605
22813, 9514, 1, 28840
