Number 1, Number 2, GCD, Time Spent(NanoSeconds)
18467, 41, 1, 395
26500, 6334, 2, 395
19169, 15724, 1, 790
29358, 11478, 6, 395
26962, 24464, 2, 395
28145, 5705, 5, 395
23281, 16827, 1, 1581
9961, 491, 1, 395
11942, 2995, 1, 395
5436, 4827, 3, 395
32391, 14604, 3, 395
3902, 153, 1, 395
12382, 292, 2, 395
18716, 17421, 1, 395
19895, 19718, 1, 395
21726, 5447, 1, 395
14771, 11538, 1, 395
19912, 1869, 1, 395
26299, 25667, 1, 395
17035, 9894, 1, 395
28703, 23811, 1, 0
31322, 30333, 1, 395
17673, 4664, 1, 395
15141, 7711, 1, 395
28253, 6868, 1, 790
27644, 25547, 1, 790
32757, 32662, 1, 0
20037, 12859, 1, 395
9741, 8723, 1, 395
27529, 778, 1, 395
12316, 3035, 1, 395
22190, 1842, 2, 395
30106, 288, 2, 395
9040, 8942, 2, 395
22648, 19264, 8, 0
27446, 23805, 1, 790
15890, 6729, 1, 790
24370, 15350, 10, 395
31101, 15006, 3, 395
24393, 3548, 1, 395
19629, 12623, 1, 395
24084, 19954, 2, 0
18756, 11840, 4, 395
7376, 4966, 2, 395
26308, 13931, 1, 395
32439, 16944, 3, 395
24626, 11323, 1, 395
21538, 5537, 1, 395
16118, 2082, 2, 395
22929, 16541, 1, 395
31115, 4833, 1, 395
29658, 4639, 1, 790
22704, 9930, 6, 395
13977, 2306, 1, 395
31673, 22386, 1, 395
28745, 5021, 1, 395
26924, 19072, 4, 790
6270, 5829, 3, 395
26777, 15573, 1, 395
16512, 5097, 3, 395
23986, 13290, 2, 395
18636, 9161, 1, 790
24767, 22355, 1, 395
23655, 15574, 1, 791
12052, 4031, 1, 395
27350, 1150, 50, 0
21724, 16941, 1, 16198
13966, 3430, 2, 0
31107, 30191, 1, 0
18007, 11337, 1, 395
15457, 12287, 1, 395
27753, 10383, 3, 395
14945, 8909, 1, 0
32209, 9758, 1, 0
24221, 18588, 1, 395
24946, 6422, 2, 790
27506, 13030, 2, 395
29168, 16413, 1, 395
32591, 900, 1, 395
18762, 1655, 1, 395
17410, 6359, 1, 395
27624, 20537, 1, 395
21548, 6483, 1, 395
27595, 4041, 1, 395
24350, 3602, 2, 395
30836, 10291, 1, 395
11020, 9374, 2, 395
24021, 4596, 3, 395
27348, 23199, 3, 395
24484, 19668, 4, 395
8281, 4734, 1, 395
1999, 53, 1, 395
27938, 26418, 2, 396
6900, 3788, 4, 790
18127, 467, 1, 395
14893, 3728, 1, 395
24648, 22483, 1, 395
17807, 2421, 1, 395
14310, 6617, 1, 0
22813, 9514, 1, 791
