Number 1, Number 2, GCD, Time Spent(NanoSeconds)
41, 18467, 1, 396
6334, 26500, 2, 395
19169, 15724, 1, 395
11478, 29358, 6, 1185
26962, 24464, 2, 1185
5705, 28145, 5, 395
23281, 16827, 1, 395
9961, 491, 1, 395
2995, 11942, 1, 16198
4827, 5436, 3, 395
32391, 14604, 3, 790
3902, 153, 1, 395
292, 12382, 2, 395
17421, 18716, 1, 395
19718, 19895, 1, 0
5447, 21726, 1, 790
14771, 11538, 1, 791
1869, 19912, 1, 395
25667, 26299, 1, 395
17035, 9894, 1, 790
28703, 23811, 1, 1185
31322, 30333, 1, 395
17673, 4664, 1, 395
15141, 7711, 1, 395
28253, 6868, 1, 395
25547, 27644, 1, 395
32662, 32757, 1, 395
20037, 12859, 1, 395
8723, 9741, 1, 395
27529, 778, 1, 395
12316, 3035, 1, 395
22190, 1842, 2, 790
288, 30106, 2, 395
9040, 8942, 2, 395
19264, 22648, 8, 395
27446, 23805, 1, 395
15890, 6729, 1, 395
24370, 15350, 10, 395
15006, 31101, 3, 395
24393, 3548, 1, 395
19629, 12623, 1, 395
24084, 19954, 2, 395
18756, 11840, 4, 395
4966, 7376, 2, 395
13931, 26308, 1, 395
16944, 32439, 3, 395
24626, 11323, 1, 395
5537, 21538, 1, 395
16118, 2082, 2, 395
22929, 16541, 1, 396
4833, 31115, 1, 790
4639, 29658, 1, 395
22704, 9930, 6, 0
13977, 2306, 1, 395
31673, 22386, 1, 395
5021, 28745, 1, 395
26924, 19072, 4, 790
6270, 5829, 3, 395
26777, 15573, 1, 395
5097, 16512, 3, 395
23986, 13290, 2, 395
9161, 18636, 1, 395
22355, 24767, 1, 395
23655, 15574, 1, 791
4031, 12052, 1, 395
27350, 1150, 50, 395
16941, 21724, 1, 790
13966, 3430, 2, 790
31107, 30191, 1, 395
18007, 11337, 1, 395
15457, 12287, 1, 791
27753, 10383, 3, 395
14945, 8909, 1, 395
32209, 9758, 1, 395
24221, 18588, 1, 395
6422, 24946, 2, 395
27506, 13030, 2, 396
16413, 29168, 1, 395
900, 32591, 1, 790
18762, 1655, 1, 790
17410, 6359, 1, 790
27624, 20537, 1, 790
21548, 6483, 1, 395
27595, 4041, 1, 395
3602, 24350, 2, 395
10291, 30836, 1, 395
9374, 11020, 2, 395
4596, 24021, 3, 395
27348, 23199, 3, 395
19668, 24484, 4, 0
8281, 4734, 1, 791
53, 1999, 1, 395
26418, 27938, 2, 395
6900, 3788, 4, 790
18127, 467, 1, 395
3728, 14893, 1, 395
24648, 22483, 1, 395
17807, 2421, 1, 395
14310, 6617, 1, 395
22813, 9514, 1, 395
